"date","home_team","away_team","home_goals","away_goals","neutral"
"2008-11-19 17:30:00","Slovakia","Liechtenstein",4,0,0
"2008-11-19 18:00:00","Israel","Côte dIvoire",2,2,0
"2008-11-19 18:00:00","Cyprus","Belarus",2,1,0
"2008-11-19 19:00:00","Ukraine","Norway",1,0,0
"2008-11-19 19:00:00","Ghana","Tunisia",0,0,0
"2008-11-19 19:30:00","Romania","Georgia",2,1,0
"2008-11-19 19:40:00","South Africa","Cameroon",3,2,0
"2008-11-19 20:00:00","Morocco","Zambia",3,0,0
"2008-11-19 20:15:00","Slovenia","Bosnia-Herzegovina",3,4,0
"2008-11-19 20:15:00","Denmark","Wales",0,1,0
"2008-11-19 20:30:00","Greece","Italy",1,1,0
"2008-11-19 20:30:00","Switzerland","Finland",1,0,0
"2008-11-19 20:30:00","Austria","Turkey",2,4,0
"2008-11-19 20:30:00","Luxembourg","Belgium",1,1,0
"2008-11-19 20:45:00","Germany","England",1,2,0
"2008-11-19 20:45:00","Northern Ireland","Hungary",0,2,0
"2008-11-19 20:45:00","Netherlands","Sweden",3,1,0
"2008-11-19 21:00:00","France","Uruguay",0,0,0
"2008-11-19 21:00:00","Scotland","Argentina",0,1,0
"2008-11-19 21:00:00","Ireland","Poland",2,3,0
"2008-11-19 22:00:00","Spain","Chile",3,0,0
"2008-11-20 01:00:00","Brazil","Portugal",6,2,0
"2008-11-20 03:00:00","Colombia","Nigeria",1,0,0
"2008-11-21 09:30:00","Indonesia","Myanmar",1,2,0
"2008-11-22 12:00:00","Estonia","Lithuania",1,1,0
"2008-11-29 11:00:00","Malaysia","Singapore",2,2,0
"2008-12-08 13:30:00","Thailand","Laos",6,0,0
"2008-12-09 13:30:00","Indonesia","Singapore",0,2,0
"2008-12-10 11:00:00","Thailand","Malaysia",3,0,0
"2008-12-14 15:00:00","Poland","Serbia",1,0,0
"2008-12-16 13:00:00","Indonesia","Thailand",0,1,0
"2008-12-17 15:00:00","Oman","China",3,1,0
"2008-12-19 17:15:00","Oman","Ecuador",2,0,0
"2008-12-20 13:00:00","Thailand","Indonesia",2,1,0
"2008-12-21 16:00:00","Jordan","China",0,1,0
"2008-12-23 15:00:00","Bahrain","Saudi Arabia",1,0,0
"2008-12-30 15:40:00","Qatar","Libya",5,2,0
"2009-01-04 15:00:00","Oman","Kuwait",0,0,0
"2009-01-04 17:40:00","Iraq","Bahrain",1,3,0
"2009-01-05 15:00:00","United Arab Emirates","Yemen",3,1,0
"2009-01-05 17:40:00","Saudi Arabia","Qatar",0,0,0
"2009-01-07 15:00:00","Oman","Iraq",4,0,0
"2009-01-07 17:30:00","Kuwait","Bahrain",1,0,0
"2009-01-08 15:00:00","Qatar","United Arab Emirates",0,0,0
"2009-01-08 17:30:00","Yemen","Saudi Arabia",0,6,0
"2009-01-09 12:30:00","Iran","China",3,1,0
"2009-01-10 15:00:00","Iraq","Kuwait",1,1,0
"2009-01-10 15:00:00","Oman","Bahrain",2,0,0
"2009-01-11 15:00:00","United Arab Emirates","Saudi Arabia",0,3,0
"2009-01-11 15:00:00","Qatar","Yemen",2,1,0
"2009-01-14 12:30:00","Hong Kong","India",2,1,0
"2009-01-14 15:00:00","Oman","Qatar",1,0,0
"2009-01-14 18:00:00","Saudi Arabia","Kuwait",1,0,0
"2009-01-17 15:00:00","Oman","Saudi Arabia",0,0,0
"2009-01-17 23:00:00","Guatemala","Haiti",1,0,0
"2009-01-18 12:00:00","Syria","Turkmenistan",5,1,0
"2009-01-19 01:00:00","Honduras","Chile",2,0,0
"2009-01-20 16:00:00","Kuwait","Turkmenistan",2,0,0
"2009-01-21 10:30:00","Korea DPR","Denmark",0,1,0
"2009-01-21 13:00:00","Thailand","Lebanon",2,1,0
"2009-01-23 10:00:00","Korea DPR","Lebanon",0,1,0
"2009-01-23 13:00:00","Thailand","Denmark",2,2,0
"2009-01-23 16:00:00","Kuwait","Syria",2,3,0
"2009-01-23 18:00:00","Egypt","Kenya",1,0,0
"2009-01-25 02:30:00","United States","Sweden",3,2,0
"2009-01-29 04:30:00","Mexico","Sweden",0,1,0
"2009-02-01 15:00:00","Syria","Korea Republic",1,1,0
"2009-02-01 15:00:00","Azerbaijan","Uzbekistan",1,1,0
"2009-02-01 17:00:00","Côte dIvoire","Burkina Faso",3,0,0
"2009-02-04 11:20:00","Japan","Finland",5,1,0
"2009-02-04 15:15:00","Bahrain","Korea Republic",2,2,0
"2009-02-05 07:00:00","Thailand","Saudi Arabia",1,2,0
"2009-02-07 05:20:00","El Salvador","Peru",1,0,0
"2009-02-07 20:20:00","Poland","Lithuania",1,1,0
"2009-02-10 18:00:00","Cyprus","Serbia",0,2,0
"2009-02-10 18:00:00","Slovakia","Ukraine",2,3,0
"2009-02-10 20:45:00","Brazil","Italy",2,0,0
"2009-02-11 14:00:00","Latvia","Armenia",0,0,0
"2009-02-11 14:00:00","Mozambique","Malawi",2,0,0
"2009-02-11 15:00:00","Moldova","Macedonia FYR",1,1,0
"2009-02-11 15:30:00","Libya","Uruguay",2,3,0
"2009-02-11 16:00:00","Liechtenstein","Iceland",0,2,0
"2009-02-11 16:15:00","Kuwait","Azerbaijan",1,1,0
"2009-02-11 17:30:00","Algeria","Benin",2,1,0
"2009-02-11 18:00:00","Cyprus","Slovakia",3,2,0
"2009-02-11 18:00:00","Israel","Hungary",1,0,0
"2009-02-11 18:00:00","Kazakhstan","Estonia",2,0,0
"2009-02-11 18:00:00","Serbia","Ukraine",0,1,0
"2009-02-11 18:15:00","Poland","Wales",1,0,0
"2009-02-11 18:15:00","Lithuania","Andorra",3,1,0
"2009-02-11 18:30:00","Togo","Burkina Faso",1,1,0
"2009-02-11 19:00:00","Egypt","Ghana",2,2,0
"2009-02-11 19:00:00","Cameroon","Guinea",3,1,0
"2009-02-11 19:30:00","Turkey","Côte dIvoire",1,1,0
"2009-02-11 19:30:00","South Africa","Chile",0,2,0
"2009-02-11 19:45:00","Romania","Croatia",1,2,0
"2009-02-11 20:00:00","Morocco","Czech Republic",0,0,0
"2009-02-11 20:00:00","Angola","Mali",0,4,0
"2009-02-11 20:15:00","Greece","Denmark",1,1,0
"2009-02-11 20:30:00","Tunisia","Netherlands",1,1,0
"2009-02-11 20:30:00","Germany","Norway",0,1,0
"2009-02-11 20:30:00","Switzerland","Bulgaria",1,1,0
"2009-02-11 20:30:00","Austria","Sweden",0,2,0
"2009-02-11 20:45:00","Jamaica","Nigeria",0,0,0
"2009-02-11 20:45:00","Belgium","Slovenia",2,0,0
"2009-02-11 21:00:00","France","Argentina",0,2,0
"2009-02-11 21:45:00","Portugal","Finland",1,0,0
"2009-02-11 22:00:00","Spain","England",2,0,0
